fold,générateur,ratio,N,model,RMSE
0,SMOTE-R,1,19,XGBoost,5.191028797067642
0,SMOTE-R,1,19,CatBoost,5.186567792280005
0,SMOTE-R,1,19,LightGBM,5.032510252375513
0,SMOTE-R,2,1,RF,7.313799183585633
0,SMOTE-R,2,1,XGBoost,7.120328416311295
0,SMOTE-R,2,1,CatBoost,6.990002877453179
0,SMOTE-R,2,1,LightGBM,7.076430675282078
0,SMOTE-R,2,2,RF,7.2542516314147685
0,SMOTE-R,2,2,XGBoost,7.498512503461672
0,SMOTE-R,2,2,CatBoost,6.997263505245221
0,SMOTE-R,2,2,LightGBM,7.974981976715313
0,SMOTE-R,2,3,RF,5.813391273338327
0,SMOTE-R,2,3,XGBoost,6.9335429938889055
0,SMOTE-R,2,3,CatBoost,5.989858695574915
0,SMOTE-R,2,3,LightGBM,5.472450838553275
0,SMOTE-R,2,4,RF,5.736746379634866
0,SMOTE-R,2,4,XGBoost,5.549035212994758
0,SMOTE-R,2,4,CatBoost,5.737702574730459
0,SMOTE-R,2,4,LightGBM,5.554717855085906
0,SMOTE-R,2,5,RF,5.44525361078866
0,SMOTE-R,2,5,XGBoost,5.36392836115953
0,SMOTE-R,2,5,CatBoost,5.187083408086524
0,SMOTE-R,2,5,LightGBM,5.397147379901671
0,SMOTE-R,2,6,RF,5.466521632595194
0,SMOTE-R,2,6,XGBoost,5.3391224647747775
0,SMOTE-R,2,6,CatBoost,5.101580664901092
0,SMOTE-R,2,6,LightGBM,5.397147379901671
0,SMOTE-R,2,7,RF,5.449568313974114
0,SMOTE-R,2,7,XGBoost,5.261425359189803
0,SMOTE-R,2,7,CatBoost,4.956543688940615
0,SMOTE-R,2,7,LightGBM,5.197426774549462
0,SMOTE-R,2,8,RF,5.39022183889586
0,SMOTE-R,2,8,XGBoost,5.183780331942946
0,SMOTE-R,2,8,CatBoost,5.116986408662522
0,SMOTE-R,2,8,LightGBM,5.0068119834378795
0,SMOTE-R,2,9,RF,5.384242869496729
0,SMOTE-R,2,9,XGBoost,5.2652120062464425
0,SMOTE-R,2,9,CatBoost,5.0964941887030895
0,SMOTE-R,2,9,LightGBM,5.04785234299323
0,SMOTE-R,2,10,RF,5.4262399164163755
0,SMOTE-R,2,10,XGBoost,5.220559763433469
0,SMOTE-R,2,10,CatBoost,5.025239404403245
0,SMOTE-R,2,10,LightGBM,5.1280023252236235
0,SMOTE-R,2,12,RF,5.438910046227538
0,SMOTE-R,2,12,XGBoost,5.255774824544523
0,SMOTE-R,2,12,CatBoost,5.062682373038934
0,SMOTE-R,2,12,LightGBM,5.223785663512786
0,SMOTE-R,2,14,RF,6.060133499432545
0,SMOTE-R,2,14,XGBoost,5.441591540964248
0,SMOTE-R,2,14,CatBoost,5.39239969260403
0,SMOTE-R,2,14,LightGBM,5.404039478762194
0,SMOTE-R,2,17,RF,6.03602920432548
0,SMOTE-R,2,17,XGBoost,5.46940479095544
0,SMOTE-R,2,17,CatBoost,5.249741485620585
0,SMOTE-R,2,17,LightGBM,5.387316652841282
0,SMOTE-R,2,19,RF,6.161094411854143
0,SMOTE-R,2,19,XGBoost,5.5095348437316165
0,SMOTE-R,2,19,CatBoost,5.215731972211476
0,SMOTE-R,2,19,LightGBM,5.371406444032638
0,SMOTE-R,5,1,RF,7.520462331161691
0,SMOTE-R,5,1,XGBoost,7.086116672176334
0,SMOTE-R,5,1,CatBoost,7.143819125342208
0,SMOTE-R,5,1,LightGBM,7.087863885189456
0,SMOTE-R,5,2,RF,7.259638261971989
0,SMOTE-R,5,2,XGBoost,7.470862478638893
0,SMOTE-R,5,2,CatBoost,7.36206035833145
0,SMOTE-R,5,2,LightGBM,7.306014333940867
0,SMOTE-R,5,3,RF,5.617299957894246
0,SMOTE-R,5,3,XGBoost,7.0155093815864324
0,SMOTE-R,5,3,CatBoost,5.7017655696383285
0,SMOTE-R,5,3,LightGBM,6.020970140739143
0,SMOTE-R,5,4,RF,5.524473763218918
0,SMOTE-R,5,4,XGBoost,5.731960932697053
0,SMOTE-R,5,4,CatBoost,5.518508556572197
0,SMOTE-R,5,4,LightGBM,5.758994592599938
0,SMOTE-R,5,5,RF,5.401895760617272
0,SMOTE-R,5,5,XGBoost,5.633239600830428
0,SMOTE-R,5,5,CatBoost,5.381402025938523
0,SMOTE-R,5,5,LightGBM,5.558146817795021
0,SMOTE-R,5,6,RF,5.419596864330365
0,SMOTE-R,5,6,XGBoost,5.665801155095542
0,SMOTE-R,5,6,CatBoost,5.243710438291798
0,SMOTE-R,5,6,LightGBM,5.558146817795021
0,SMOTE-R,5,7,RF,5.4642025956043145
0,SMOTE-R,5,7,XGBoost,5.530778599156687
0,SMOTE-R,5,7,CatBoost,5.250234224746017
0,SMOTE-R,5,7,LightGBM,5.350441540146431
0,SMOTE-R,5,8,RF,5.334937319943073
0,SMOTE-R,5,8,XGBoost,5.4974204881316435
0,SMOTE-R,5,8,CatBoost,5.140970640438453
0,SMOTE-R,5,8,LightGBM,5.200959562154408
0,SMOTE-R,5,9,RF,5.320093264957714
0,SMOTE-R,5,9,XGBoost,5.529691365819061
0,SMOTE-R,5,9,CatBoost,5.18808585993299
0,SMOTE-R,5,9,LightGBM,5.261096469771759
0,SMOTE-R,5,10,RF,5.266549261981436
0,SMOTE-R,5,10,XGBoost,5.53560323167212
0,SMOTE-R,5,10,CatBoost,5.223752573242048
0,SMOTE-R,5,10,LightGBM,5.176473813527269
0,SMOTE-R,5,12,RF,5.295727733898595
0,SMOTE-R,5,12,XGBoost,5.507386035646025
0,SMOTE-R,5,12,CatBoost,5.12548478564305
0,SMOTE-R,5,12,LightGBM,5.380894420707801
0,SMOTE-R,5,14,RF,6.1014992741116565
0,SMOTE-R,5,14,XGBoost,5.892529222800639
0,SMOTE-R,5,14,CatBoost,5.312656107455192
0,SMOTE-R,5,14,LightGBM,5.8127198170726
0,SMOTE-R,5,17,RF,6.114792383158953
0,SMOTE-R,5,17,XGBoost,5.865579097080185
0,SMOTE-R,5,17,CatBoost,5.337376282686171
0,SMOTE-R,5,17,LightGBM,5.773945005053623
0,SMOTE-R,5,19,RF,6.159614478474525
0,SMOTE-R,5,19,XGBoost,5.948401301812979
0,SMOTE-R,5,19,CatBoost,5.5049800048987985
0,SMOTE-R,5,19,LightGBM,5.950294033754017
0,CTGAN,1,1,RF,7.558626389721356
0,CTGAN,1,1,XGBoost,7.008864458376697
0,CTGAN,1,1,CatBoost,7.21345970575467
0,CTGAN,1,1,LightGBM,7.332717754501171
0,CTGAN,1,2,RF,7.230927045316919
0,CTGAN,1,2,XGBoost,7.509679107652214
0,CTGAN,1,2,CatBoost,7.0512137859107
0,CTGAN,1,2,LightGBM,7.761498637614972
0,CTGAN,1,3,RF,5.9086875410473025
0,CTGAN,1,3,XGBoost,7.085909673737868
0,CTGAN,1,3,CatBoost,5.800238757687208
0,CTGAN,1,3,LightGBM,6.151037359930898
0,CTGAN,1,4,RF,5.887912065174204
0,CTGAN,1,4,XGBoost,5.917065130339579
0,CTGAN,1,4,CatBoost,5.534610719743212
0,CTGAN,1,4,LightGBM,5.7914211809657195
0,CTGAN,1,5,RF,5.505321490984818
0,CTGAN,1,5,XGBoost,5.600412555810897
0,CTGAN,1,5,CatBoost,5.213760567522823
0,CTGAN,1,5,LightGBM,5.5557404650584035
0,CTGAN,1,6,RF,5.5847525053116485
0,CTGAN,1,6,XGBoost,5.831457796638222
0,CTGAN,1,6,CatBoost,5.176831757011661
0,CTGAN,1,6,LightGBM,5.5557404650584035
0,CTGAN,1,7,RF,5.665898149291043
0,CTGAN,1,7,XGBoost,5.714710495466589
0,CTGAN,1,7,CatBoost,5.275692606207849
0,CTGAN,1,7,LightGBM,5.782077057204031
0,CTGAN,1,8,RF,5.596816779710551
0,CTGAN,1,8,XGBoost,5.632344467188146
0,CTGAN,1,8,CatBoost,5.169390743435605
0,CTGAN,1,8,LightGBM,5.63165537610564
0,CTGAN,1,9,RF,5.645931809786522
0,CTGAN,1,9,XGBoost,5.623424827235966
0,CTGAN,1,9,CatBoost,5.276084393832491
0,CTGAN,1,9,LightGBM,5.7369221018102365
0,CTGAN,1,10,RF,5.693403149085285
0,CTGAN,1,10,XGBoost,5.635495369947703
0,CTGAN,1,10,CatBoost,5.213893596444181
0,CTGAN,1,10,LightGBM,5.674414354410539
0,CTGAN,1,12,RF,5.696506096393007
0,CTGAN,1,12,XGBoost,5.695588276867243
0,CTGAN,1,12,CatBoost,5.266010188096138
0,CTGAN,1,12,LightGBM,5.973043308011505
0,CTGAN,1,14,RF,5.8789374116062705
0,CTGAN,1,14,XGBoost,5.693083937670679
0,CTGAN,1,14,CatBoost,5.515434387708895
0,CTGAN,1,14,LightGBM,5.924358284231631
