Rx_lat,Rx_lon,Tx_id,City,Tx_lat,Tx_lon,Distance,Tx_power,Tx_alt,Tx_antenna_height,Tx_height,Freq,Rx_antenna_height,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,Rx_alt,Slope_Tx_Rx,Roughness_Tx_Rx,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Slope_Local_Rx_50m,Roughness_Local_Rx_50m,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment
6.37272,2.34774,ABCA,cotonou,6.4302,2.3471,6356.997144711238,21238.37353,17.0,150.0,167.0,570.0,10,13.886585712432861,179.366018894587,1.3797483908996049,3.8865857124328613,-0.001780847558435404,3.5653857992954645,-0.0017914729949523335,3.5490269955208595,-0.001945179510497908,0.040334728063925136,1,-1.0,-1.0,0,0,0,15,urban
6.37114,2.35104,COTO,cotonou,6.352268,2.402957,6111.417050448094,21238.37353,9.0,100.0,109.0,570.0,10,13.302542686462402,290.09314750765515,0.8971098338862423,3.3025426864624023,-6.433188132646212e-05,1.3357692375752843,4.466841188551693e-06,1.3294027352375837,0.005016793387102165,0.06475766077369141,0,5437.813968735378,5450.061297493791,5,9,3,8,urban
6.36991,2.34688,COTO,cotonou,6.352268,2.402957,6503.808790303928,21238.37353,9.0,100.0,109.0,570.0,10,13.062447786331177,287.5683936956942,0.8451075948288962,3.0624477863311768,-9.369311728925409e-05,1.3460694927658892,-9.56671060129569e-05,1.339956390236664,0.0011652416653103299,0.043592668603226185,0,-1.0,5682.686638421867,0,12,0,14,urban
6.37635,2.34974,ABCA,cotonou,6.4302,2.3471,5962.326097648317,21238.37353,17.0,150.0,167.0,570.0,10,14.2510666847229,177.21065186683722,1.467540536683993,4.2510666847229,-0.0018361322444487654,3.5615040104863076,-0.0018277615061644493,3.543952499086818,-0.0006632486979166666,0.02475564728442176,1,-1.0,-1.0,0,0,0,10,urban
6.37501,2.35304,COTO,cotonou,6.352268,2.402957,6068.414754814817,21238.37353,9.0,100.0,109.0,570.0,10,13.639300107955933,294.6304742144279,0.9002871730148551,3.6393001079559326,-1.1115160285937232e-05,1.3169374205662596,1.0254240784871564e-05,1.3143205115340422,0.0024881668811973347,0.07717972947577348,0,5265.778735139911,5253.617583326654,3,14,0,1,urban
6.38035,2.35162,ABCA,cotonou,6.4302,2.3471,5535.448569676001,21238.37353,17.0,150.0,167.0,570.0,10,13.076376914978027,174.85095809711402,1.5928071319995893,3.0763769149780273,-0.0021460436912847155,3.5826763119009026,-0.0021258776625634936,3.563571998468293,0.004746818542480469,0.22331870201126422,0,5435.610819922325,-1.0,3,0,0,15,urban
6.37683,2.35156,ABCA,cotonou,6.4302,2.3471,5922.674567843846,21238.37353,17.0,150.0,167.0,570.0,10,14.146467685699463,175.2524492486773,1.4783724029978897,4.146467685699463,-0.0018736759374913307,3.494672576604185,-0.0018499816258748369,3.4778525651018843,-0.0007400234540303548,0.03584812513750514,1,-1.0,-1.0,0,0,2,5,urban
6.3793,2.3548,ABCA,cotonou,6.4302,2.3471,5693.025466371441,21238.37353,17.0,150.0,167.0,570.0,10,12.828059196472168,171.45015458962757,1.5512389921575713,2.828059196472168,-0.002170610006234157,3.3798368104106666,-0.002141136676073074,3.362350020573865,0.0008982261021931965,0.03470918053670846,1,-1.0,-1.0,0,0,0,4,urban
6.38382,2.35394,ABCA,cotonou,6.4302,2.3471,5184.594476088388,21238.37353,17.0,150.0,167.0,570.0,10,12.132371187210083,171.66191939453984,1.710958085505975,2.132371187210083,-0.0025203092479522057,3.52837658283288,-0.002462491398765927,3.5085012474890216,0.0016925017038981118,0.06422777291371239,1,-1.0,-1.0,0,0,1,6,urban
6.38042,2.35448,ABCA,cotonou,6.4302,2.3471,5565.288449234078,21238.37353,17.0,150.0,167.0,570.0,10,12.793106079101562,171.6186703922724,1.587185304662718,2.7931060791015625,-0.002225360624850076,3.403163357043711,-0.002194075170138203,3.3851429995116327,0.0006206055482228597,0.02910325262161498,1,-1.0,-1.0,0,0,0,1,urban
6.38397,2.357,ABCA,cotonou,6.4302,2.3471,5228.484713079486,21238.37353,17.0,150.0,167.0,570.0,10,12.458997011184692,167.98560268896222,1.6930278059520625,2.4589970111846924,-0.0024292912710280642,3.433221832944419,-0.002411851648128394,3.4236438802372238,0.00014722347259521482,0.008381644010352001,1,-1.0,-1.0,0,0,0,15,urban
6.38554,2.35556,ABCA,cotonou,6.4302,2.3471,5026.761322067294,21238.37353,17.0,150.0,167.0,570.0,10,12.43277359008789,169.33848702526814,1.7612254946144126,2.4327735900878906,-0.002535714800395663,3.5448708516218708,-0.0024334088961283367,3.5246918420444038,0.0059416989485422764,0.2699152527010345,1,-1.0,-1.0,0,0,0,14,urban
6.38835,2.35948,ABCA,cotonou,6.4302,2.3471,4826.507226699964,21238.37353,17.0,150.0,167.0,570.0,10,11.39553427696228,163.61758133775936,1.8465510940757563,1.3955342769622803,-0.002861972145398654,3.4257405800756673,-0.002836533966236113,3.4053603782175323,-0.0009220729137017244,0.024587263711796585,1,-1.0,-1.0,0,0,1,10,urban
6.39226,2.36187,ABCA,cotonou,6.4302,2.3471,4502.6528534353365,21238.37353,17.0,150.0,167.0,570.0,10,13.120017051696777,158.8495030825943,1.9573446504697076,3.1200170516967773,-0.002669483252182175,3.4176916900299674,-0.0026826181955504837,3.4072789052312262,-0.002371605237325032,0.09209466858295719,1,-1.0,-1.0,0,0,0,7,urban
6.36672,2.35101,COTO,cotonou,6.352268,2.402957,5965.442650079117,21238.37353,9.0,100.0,109.0,570.0,10,11.58084225654602,285.64135988571184,0.9355903321665016,1.5808422565460205,-0.0003563771006188795,1.3892534766803588,-0.0003533526439571855,1.3918652357184775,-0.00010684861077202691,0.003969907665200243,1,-1.0,-1.0,0,0,0,1,urban
6.36707,2.35688,COTO,cotonou,6.352268,2.402957,5354.271948128955,21238.37353,9.0,100.0,109.0,570.0,10,11.698197603225708,287.91514792771335,1.0411068175014861,1.698197603225708,-0.0003743711606492649,1.4145296443597657,-0.0003509970220632536,1.415617608881481,0.0009335597356160481,0.05183420848232801,1,-1.0,-1.0,0,0,4,0,urban
6.36652,2.35999,COTO,cotonou,6.352268,2.402957,5008.2899097816,21238.37353,9.0,100.0,109.0,570.0,10,11.518850922584534,288.45881561569524,1.1150619009803566,1.5188509225845337,-0.0004367545931163186,1.4038008862546323,-0.00042118009341287645,1.4097720789927242,0.0005861937545496932,0.01869137000884788,1,-1.0,-1.0,0,0,0,0,urban
6.39214,2.36605,ABCA,cotonou,6.4302,2.3471,4702.173504052611,21238.37353,17.0,150.0,167.0,570.0,10,13.49488091468811,153.67345935502544,1.869789152315238,3.4948809146881104,-0.002483435954192876,3.2715621780975894,-0.002449801682926074,3.2571759610516957,0.0008675495783487955,0.03199501667881553,1,-1.0,-1.0,0,0,1,7,urban
6.39195,2.36881,ABCA,cotonou,6.4302,2.3471,4864.276288688689,21238.37353,17.0,150.0,167.0,570.0,10,14.120302200317383,150.57438728881527,1.800160706089651,4.120302200317383,-0.002235280410961302,3.1840262006675384,-0.0022505324061323955,3.1800926962308576,0.0008101198408338758,0.030154014292326423,1,-1.0,-1.0,0,0,0,4,urban
6.39087,2.37233,ABCA,cotonou,6.4302,2.3471,5167.982642287051,21238.37353,17.0,150.0,167.0,570.0,10,13.671361446380615,147.4817304058422,1.6994073229980677,3.6713614463806152,-0.0022237793328904465,3.1135401569750707,-0.0022282736054782207,3.1077579740900374,-0.0008108801311916776,0.04123870125943848,1,-1.0,-1.0,0,0,0,8,urban
6.3893,2.37687,COTO,cotonou,6.352268,2.402957,5010.134029711218,21238.37353,9.0,100.0,109.0,570.0,10,12.795552015304565,325.00578877653317,1.1000567030863524,2.7955520153045654,-0.00018192403568717067,0.9925179196230928,-0.00029814658692324346,0.993935237904003,-0.006668486410090221,0.26390747604132414,0,4618.560428190702,4638.641125704575,2,11,3,8,urban
6.38582,2.38372,COTO,cotonou,6.352268,2.402957,4277.51977431086,21238.37353,9.0,100.0,109.0,570.0,10,14.842063426971436,330.3261382456307,1.2610067446032207,4.8420634269714355,0.0002852104099733926,0.9702349175905518,0.00026396532330217736,0.9765765973331021,0.0006649474889757804,0.03305056925348936,1,-1.0,-1.0,0,0,2,2,urban
6.38387,2.38232,COTO,cotonou,6.352268,2.402957,4174.532210330194,21238.37353,9.0,100.0,109.0,570.0,10,14.598869323730469,327.01761201742283,1.2954420778591196,4.598869323730469,0.0002123518784840902,0.9958590584077911,0.00020997995110992606,0.9980075426976199,-0.00012813266733352984,0.003983853041238664,1,-1.0,-1.0,0,0,7,7,urban
6.38337,2.38106,COTO,cotonou,6.352268,2.402957,4207.054458010579,21238.37353,9.0,100.0,109.0,570.0,10,14.463256359100342,325.02093615775425,1.2872771341670324,4.463256359100342,0.00017878603427968126,1.0216180882286192,0.00015431776852674887,1.0213575982752148,0.0008279959360758463,0.06160447661555819,0,-1.0,3996.2801865671627,0,2,5,6,urban
6.38491,2.37548,COTO,cotonou,6.352268,2.402957,4719.341837879194,21238.37353,9.0,100.0,109.0,570.0,10,13.193845987319946,320.08655960748837,1.1629872488575508,3.1938459873199463,-9.472034485073129e-05,1.0346654692257315,-9.40677246290784e-05,1.031587964732514,0.0009631130889622328,0.03730782955485479,1,-1.0,-1.0,0,0,1,7,urban
6.38731,2.37455,COTO,cotonou,6.352268,2.402957,4989.481101964698,21238.37353,9.0,100.0,109.0,570.0,10,13.484379053115845,321.14487558330086,1.0967019363043278,3.4843790531158447,-4.443360897833249e-05,0.9791176981814388,-2.9216702096960535e-05,0.9771289636328206,0.0021571413634106002,0.08960218552313373,0,-1.0,4889.491500722919,0,2,5,9,urban
6.38724,2.37155,COTO,cotonou,6.352268,2.402957,5199.17750758549,21238.37353,9.0,100.0,109.0,570.0,10,13.28050684928894,318.2522796403097,1.054725187104418,3.2805068492889404,-8.704694600774216e-05,1.032996475041166,-3.084941808335866e-05,1.0308086477724199,0.005502899096436785,0.16695336089464158,0,4646.960257280818,4688.637030888718,1,11,1,14,urban
6.38931,2.36903,ABCA,cotonou,6.4302,2.3471,5131.653232177958,21238.37353,17.0,150.0,167.0,570.0,10,14.365494728088379,151.94274824258622,1.703687870295024,4.365494728088379,-0.0021144849134934265,3.1645155857225173,-0.002103634333382454,3.156967994670054,-0.0008938234542079528,0.02600176790902231,1,-1.0,-1.0,0,0,2,10,urban
6.39024,2.36663,ABCA,cotonou,6.4302,2.3471,4918.994532101519,21238.37353,17.0,150.0,167.0,570.0,10,13.950438022613525,154.0938443457601,1.782125556983627,3.9504380226135254,-0.0022859692798869262,3.2213237112605855,-0.0022327889914900414,3.2109252233762797,0.0033409646488560614,0.10256667975984851,1,-1.0,-1.0,0,0,0,4,urban
6.37937,2.37711,COTO,cotonou,6.352268,2.402957,4142.528376106587,21238.37353,9.0,100.0,109.0,570.0,10,11.950038433074951,316.5361622792976,1.3420635207202247,1.9500384330749512,-0.00042133165492142416,1.1730389750437116,-0.0003983184395178089,1.1722080208465757,0.0013197071780049084,0.033719962748105424,1,-1.0,-1.0,0,0,0,6,urban
6.37777,2.37481,COTO,cotonou,6.352268,2.402957,4201.353032496167,21238.37353,9.0,100.0,109.0,570.0,10,11.761256575584412,312.35538308791985,1.3258526640938084,1.7612565755844116,-0.0004632693047814017,1.151149285600552,-0.00045402472190541894,1.1545967186138661,0.00014273475907720514,0.004658379040901708,1,-1.0,-1.0,0,0,0,0,urban
