Ref,Temp,Rhum,Wdir,Wspd,Pres,Distance,Tx_power,Tx_height,Freq,Slope_Tx_Rx_50m,Roughness_Tx_Rx_50m,Rx_height,Azimut_Tx_Rx,Tilt_Tx_Rx,LOS,First_building_m,First_tree_m,Fresnel_buildings,Fresnel_trees,Buildings_near_Rx,Trees_near_Rx,Environment,E_field,Tx_antenna_height,Rx_antenna_height
cotonou_153,34.0,36.0,130.0,9.4,1008.0,4826.507226699964,21238.37353,167.0,570.0,-0.0028365339662361,3.4053603782175323,11.39553427696228,163.61758133775936,1.8465510940757563,1,-1.0,-1.0,0,0,1,10,1,67.0,150.0,10
cotonou_172,34.0,36.0,130.0,9.4,1008.0,4502.6528534353365,21238.37353,167.0,570.0,-0.0026826181955504,3.4072789052312262,13.120017051696776,158.8495030825943,1.957344650469708,1,-1.0,-1.0,0,0,0,7,1,78.3,150.0,10
cotonou_1152,34.0,44.0,220.0,14.8,1010.0,5965.442650079117,21238.37353,109.0,570.0,-0.0003533526439571,1.3918652357184775,11.58084225654602,285.64135988571184,0.9355903321665016,1,-1.0,-1.0,0,0,0,1,1,62.8,100.0,10
cotonou_1242,29.3,51.0,130.0,11.2,1009.3,5354.271948128955,21238.37353,109.0,570.0,-0.0003509970220632,1.415617608881481,11.698197603225708,287.9151479277133,1.041106817501486,1,-1.0,-1.0,0,0,4,0,1,78.8,100.0,10
cotonou_1243,30.0,49.0,140.0,14.8,1008.0,5008.2899097816,21238.37353,109.0,570.0,-0.0004211800934128,1.4097720789927242,11.518850922584534,288.45881561569524,1.1150619009803566,1,-1.0,-1.0,0,0,0,0,1,78.69999999999999,100.0,10
cotonou_181,33.0,44.0,10.0,11.2,1008.0,4702.173504052611,21238.37353,167.0,570.0,-0.002449801682926,3.257175961051696,13.49488091468811,153.67345935502544,1.869789152315238,1,-1.0,-1.0,0,0,1,7,1,66.0,150.0,10
cotonou_1161,33.0,44.0,10.0,11.2,1008.0,4864.276288688689,21238.37353,167.0,570.0,-0.0022505324061323,3.1800926962308576,14.120302200317385,150.57438728881527,1.800160706089651,1,-1.0,-1.0,0,0,0,4,1,65.5,150.0,10
cotonou_1163,33.0,44.0,10.0,11.2,1008.0,5167.982642287051,21238.37353,167.0,570.0,-0.0022282736054782,3.1077579740900374,13.671361446380615,147.4817304058422,1.6994073229980675,1,-1.0,-1.0,0,0,0,8,1,80.0,150.0,10
cotonou_1402,33.0,41.0,50.0,9.4,1007.0,5010.134029711218,21238.37353,109.0,570.0,-0.0002981465869232,0.993935237904003,12.795552015304564,325.0057887765332,1.1000567030863524,0,4618.560428190702,4638.641125704575,2,11,3,8,1,64.0,100.0,10
cotonou_1382,33.0,41.0,50.0,9.4,1007.0,4277.51977431086,21238.37353,109.0,570.0,0.0002639653233021,0.976576597333102,14.842063426971436,330.3261382456307,1.2610067446032207,1,-1.0,-1.0,0,0,2,2,1,64.8,100.0,10
cotonou_1381,33.0,41.0,50.0,9.4,1007.0,4174.532210330194,21238.37353,109.0,570.0,0.0002099799511099,0.99800754269762,14.598869323730469,327.01761201742283,1.2954420778591196,1,-1.0,-1.0,0,0,7,7,1,75.6,100.0,10
