N,RF_RMSE,RF_RMSEsd,XGBoost_RMSE,XGBoost_RMSEsd,CatBoost_RMSE,CatBoost_RMSEsd,LightGBM_RMSE,LightGBM_RMSEsd
1,6.9722,0.6271,6.8743,0.5267,6.6703,0.5263,7.0449,0.6529
2,6.2218,0.3769,6.6005,0.4851,6.2036,0.2524,6.8577,0.5448
3,5.7151,0.5382,6.0108,0.2194,5.5196,0.4062,5.934,0.4257
4,5.2342,0.4562,5.6099,0.4185,5.2507,0.3376,5.6345,0.5156
5,5.3698,0.3365,5.578,0.3587,5.3246,0.2433,5.5008,0.4723
6,5.2981,0.3266,5.3667,0.3809,5.1804,0.3263,5.3861,0.4616
7,5.3239,0.3846,5.4615,0.3274,5.2265,0.317,5.4281,0.4212
8,5.307,0.3888,5.5376,0.3811,5.289,0.393,5.5732,0.3896
9,5.3132,0.4236,5.4712,0.3935,5.2857,0.4063,5.6435,0.3591
10,5.2985,0.3665,5.4984,0.393,5.2234,0.3927,5.5416,0.3661
11,5.3459,0.3753,5.4728,0.4488,5.2519,0.4094,5.5965,0.3649
12,5.3422,0.3799,5.4849,0.3797,5.2331,0.4315,5.5242,0.3717
13,5.3786,0.3848,5.459,0.3788,5.308,0.4174,5.5185,0.3816
14,5.3617,0.3709,5.504,0.4314,5.2948,0.447,5.5447,0.4008
15,5.3533,0.3818,5.4689,0.4227,5.2715,0.4586,5.5493,0.378
16,5.3525,0.3821,5.4693,0.4369,5.2953,0.4769,5.4852,0.4032
17,5.3868,0.3872,5.478,0.4012,5.3109,0.4157,5.4852,0.4032
18,5.3748,0.3694,5.4357,0.4255,5.2838,0.4117,5.4852,0.4032
