N,RF_RMSE,RF_RMSEsd,XGBoost_RMSE,XGBoost_RMSEsd,CatBoost_RMSE,CatBoost_RMSEsd,LightGBM_RMSE,LightGBM_RMSEsd
1,6.9722,0.6271,6.8743,0.5267,6.6703,0.5263,7.0449,0.6529
2,6.2218,0.3769,6.6005,0.4851,6.2036,0.2524,6.8577,0.5448
3,5.7151,0.5382,6.0108,0.2194,5.5196,0.4062,5.934,0.4257
4,5.2342,0.4562,5.6099,0.4185,5.2507,0.3376,5.6345,0.5156
5,5.3698,0.3365,5.578,0.3587,5.3246,0.2433,5.5008,0.4723
6,5.2981,0.3266,5.3667,0.3809,5.1804,0.3263,5.3861,0.4616
7,5.3239,0.3846,5.4615,0.3274,5.2265,0.317,5.4281,0.4212
8,5.307,0.3888,5.5376,0.3811,5.289,0.393,5.5732,0.3896
9,5.3132,0.4236,5.4712,0.3935,5.2857,0.4063,5.6435,0.3591
10,5.2985,0.3665,5.4984,0.393,5.2234,0.3927,5.5416,0.3661
11,5.32,0.394,5.4544,0.441,5.2561,0.4884,5.5358,0.3961
12,5.3642,0.3741,5.5131,0.3819,5.263,0.4144,5.5671,0.4111
13,5.359,0.3624,5.4649,0.4073,5.2873,0.4433,5.5082,0.3989
14,5.3668,0.3478,5.4914,0.4187,5.2357,0.4936,5.5212,0.3675
15,5.3825,0.3835,5.4904,0.4108,5.3497,0.4601,5.4796,0.4391
16,5.3708,0.3712,5.4818,0.4184,5.273,0.4545,5.4796,0.4391
17,5.3728,0.3763,5.4816,0.4075,5.2826,0.4185,5.4796,0.4391
