N,RF_RMSE,RF_RMSEsd,XGBoost_RMSE,XGBoost_RMSEsd,CatBoost_RMSE,CatBoost_RMSEsd,LightGBM_RMSE,LightGBM_RMSEsd
1,7.4981,0.7641,6.5973,0.3492,6.5467,0.4108,6.6644,0.3675
2,6.3985,0.3352,6.2945,0.2962,6.1669,0.2003,6.4219,0.3543
3,5.7739,0.4393,6.1464,0.211,5.7169,0.5047,5.9303,0.4414
4,5.4794,0.493,5.7513,0.386,5.3053,0.3102,5.5962,0.3857
5,5.5967,0.2797,5.5837,0.3361,5.4261,0.1919,5.719,0.3256
6,5.4378,0.2687,5.5094,0.4144,5.2258,0.3086,5.5446,0.3538
7,5.3915,0.2701,5.4366,0.4167,5.2779,0.2941,5.5309,0.3624
8,5.4123,0.3363,5.5374,0.3966,5.3043,0.3556,5.6045,0.3314
9,5.3675,0.3041,5.5263,0.3943,5.2628,0.32,5.5437,0.3908
10,5.4114,0.3233,5.5431,0.4514,5.3587,0.4676,5.6387,0.494
11,5.4001,0.2888,5.5524,0.4067,5.3613,0.4376,5.6584,0.5384
12,5.3968,0.3045,5.5232,0.4565,5.3158,0.4518,5.6441,0.4934
13,5.4039,0.2948,5.5729,0.3876,5.2829,0.4454,5.6676,0.4845
14,5.4345,0.3056,5.5469,0.3779,5.3243,0.4622,5.7121,0.4562
15,5.438,0.2678,5.5726,0.4225,5.3323,0.4408,5.7276,0.4813
16,5.4446,0.3354,5.5613,0.4225,5.3283,0.5203,5.6385,0.51
17,5.4412,0.3505,5.5726,0.4369,5.3232,0.4957,5.5861,0.565
18,5.4437,0.3346,5.5845,0.4228,5.3358,0.4929,5.6056,0.5801
19,5.4646,0.3547,5.5534,0.4389,5.3251,0.5287,5.6374,0.5493
20,5.4672,0.3372,5.53,0.438,5.376,0.5221,5.6051,0.5632
21,5.4858,0.3411,5.557,0.3871,5.3116,0.4792,5.6051,0.5632
22,5.4583,0.346,5.5537,0.4006,5.3376,0.4833,5.6051,0.5632
