N,RF_RMSE,RF_RMSEsd,XGBoost_RMSE,XGBoost_RMSEsd,CatBoost_RMSE,CatBoost_RMSEsd,LightGBM_RMSE,LightGBM_RMSEsd
1,7.1944,0.8348,7.1503,0.9642,6.9964,0.8342,6.8907,0.8943
2,6.3679,0.4948,6.7518,0.6165,6.5069,0.5557,6.5771,0.5107
3,5.6233,0.3535,6.3326,0.6303,5.6871,0.3126,5.8941,0.4679
4,5.64,0.264,5.929,0.4472,5.7447,0.2349,5.8566,0.3579
5,5.5386,0.2916,5.6979,0.4811,5.558,0.2407,5.7337,0.2814
6,5.5372,0.3055,5.6786,0.4818,5.5619,0.2233,5.7337,0.2814
7,5.5736,0.248,5.6655,0.4534,5.6447,0.3248,5.6798,0.4138
8,5.6016,0.3319,5.643,0.5151,5.6085,0.3737,5.7903,0.4463
9,5.5948,0.335,5.661,0.4872,5.6019,0.4099,5.7731,0.4716
10,5.6345,0.361,5.7238,0.4665,5.6098,0.4004,5.7449,0.4696
11,5.608,0.3394,5.6763,0.4799,5.6127,0.4178,5.73,0.4486
12,5.6142,0.3563,5.5852,0.4721,5.5605,0.3655,5.7756,0.4109
13,5.6542,0.4181,5.621,0.5043,5.5123,0.4114,5.592,0.4381
14,5.6584,0.4071,5.6012,0.4602,5.543,0.4176,5.5683,0.4512
15,5.6289,0.4302,5.5898,0.5373,5.5072,0.3769,5.6091,0.4149
16,5.6366,0.4217,5.5598,0.5019,5.5274,0.3469,5.5684,0.4318
17,5.6404,0.4015,5.585,0.4967,5.5537,0.4031,5.5684,0.4318
18,5.675,0.4357,5.6353,0.5252,5.5497,0.4425,5.6047,0.4272
19,5.6324,0.4081,5.6363,0.5255,5.5675,0.4164,5.6047,0.4272
